States,PHC,CHC,SDH,DH,total,beds in public hospitals,No. of Rural hospitals,beds in Rural hospitals,No. of Urban hospitals,Beds in Urban hospitals
Andaman & Nicobar Islands,27,4,,3,34,1246,193,6480,65,16658
Andhra Pradesh,1417,198,31,20,1666,60799,208,2136,10,268
Arunachal Pradesh,122,62,,15,199,2320,1176,10944,50,6198
Assam,1007,166,14,33,1220,19115,930,6083,103,5936
Bihar,2007,63,33,43,2146,17796,169,5070,45,4342
Chandigarh,40,2,1,4,47,3756,17,1405,25,1608
Chhattisgarh,813,166,12,32,1023,14354,364,11715,122,20565
Dadra & Nagar Haveli,9,2,1,1,13,568,609,6690,59,4550
Daman & Diu,4,2,,2,8,298,705,5665,96,6734
Delhi,534,25,9,47,615,20572,56,7234,76,4417
Goa,31,4,2,3,40,2666,519,5842,36,4942
Gujarat,1770,385,44,37,2236,41129,2471,21072,374,49093
Haryana,500,131,24,28,683,13841,981,16865,299,21139
Himachal Pradesh,516,79,61,15,671,8706,334,10020,117,18819
Jammu & Kashmir,702,87,,29,818,11342,273,12398,438,39048
Jharkhand,343,179,13,23,558,7404,23,730,7,697
Karnataka,2547,207,147,42,2943,56333,143,1970,14,2487
Kerala,933,229,82,53,1297,39511,56,604,34,1393
Lakshadweep,4,3,2,1,10,250,21,630,15,1250
Madhya Pradesh,1420,324,72,51,1867,38140,1655,6339,149,12180
Maharashtra,2638,430,101,70,3239,68998,510,5805,172,12128
Manipur,87,17,1,9,114,2562,602,21088,150,10760
Meghalaya,138,29,,13,180,4585,24,260,9,1300
Mizoram,65,10,3,9,87,2312,692,40179,525,37353
Nagaland,134,21,,11,166,1944,802,7668,61,13315
Odisha,1360,377,27,35,1799,16497,99,1140,56,3277
Puducherry,40,4,5,4,53,4462,4442,39104,193,37156
Punjab,521,146,47,28,742,13527,410,3284,50,5228
Rajasthan,2463,579,64,33,3139,51844,1272,19684,294,58882
Sikkim,25,2,1,4,32,1145,27,575,3,500
Tamil Nadu,1854,385,310,32,2581,72616,0,0,4,778
Telangana,788,82,47,15,932,17358,10,273,1,316
Tripura,114,22,12,9,157,4895,5,240,0,0
Uttar Pradesh,3277,671,,174,4122,58310,0,0,109,24383
Uttarakhand,275,69,19,20,383,6660,9,300,0,0
West Bengal,1374,406,70,55,1905,51163,3,96,11,3473
All India,"29,899","5,568","1,255","1,003","37,725","7,39,024",19810,279588,3772,431173
